iter	Passed	Remaining
0	42	6918
1	75	6003
2	109	5806
3	201	7966
4	356	11191
5	402	10456
6	455	10076
7	511	9849
8	546	9290
9	586	8914
10	628	8634
11	668	8354
12	707	8103
13	748	7910
14	785	7695
15	820	7483
16	856	7303
17	893	7147
18	934	7031
19	982	6974
20	1039	6978
21	1087	6920
22	1167	7057
23	1304	7502
24	1370	7508
25	1416	7407
26	1464	7322
27	1507	7216
28	1538	7054
29	1564	6883
30	1597	6749
31	1630	6624
32	1664	6506
33	1698	6396
34	1731	6283
35	1758	6153
36	1786	6036
37	1817	5929
38	1844	5817
39	1871	5709
40	1903	5618
41	1931	5518
42	1957	5415
43	1984	5322
44	2032	5284
45	2118	5341
46	2182	5339
47	2257	5362
48	2304	5313
49	2339	5241
50	2371	5160
51	2405	5088
52	2439	5016
53	2491	4983
54	2519	4901
55	2548	4823
56	2575	4744
57	2604	4669
58	2632	4595
59	2659	4521
60	2689	4453
61	2720	4387
62	2747	4317
63	2773	4247
64	2803	4183
65	2833	4121
66	2862	4058
67	2890	3995
68	2919	3935
69	2947	3873
70	2975	3813
71	3006	3758
72	3041	3708
73	3076	3658
74	3106	3603
75	3135	3548
76	3166	3495
77	3207	3454
78	3255	3420
79	3287	3369
80	3320	3320
81	3351	3269
82	3430	3264
83	3487	3238
84	3556	3221
85	3610	3190
86	3644	3141
87	3673	3088
88	3705	3039
89	3736	2989
90	3765	2937
91	3796	2888
92	3827	2839
93	3855	2789
94	3887	2741
95	3921	2695
96	3950	2647
97	3983	2601
98	4015	2555
99	4047	2509
100	4082	2465
101	4113	2419
102	4143	2373
103	4177	2329
104	4230	2296
105	4270	2256
106	4309	2215
107	4359	2179
108	4411	2144
109	4457	2107
110	4488	2062
111	4519	2017
112	4551	1973
113	4580	1928
114	4612	1885
115	4643	1841
116	4676	1798
117	4712	1757
118	4748	1715
119	4783	1674
120	4824	1634
121	4865	1595
122	4898	1553
123	4936	1512
124	4973	1472
125	5014	1432
126	5061	1394
127	5090	1352
128	5120	1309
129	5152	1268
130	5182	1226
131	5221	1186
132	5404	1178
133	5483	1145
134	5526	1105
135	5563	1063
136	5604	1022
137	5644	981
138	5679	939
139	5721	899
140	5763	858
141	5791	815
142	5821	773
143	5849	731
144	5881	689
145	5910	647
146	5944	606
147	5974	565
148	6004	523
149	6045	483
150	6090	443
151	6123	402
152	6156	362
153	6187	321
154	6221	280
155	6255	240
156	6289	200
157	6320	160
158	6353	119
159	6385	79
160	6418	39
161	6457	0
